No. tar.,No.,Tema, ,Opción A,Opción B,Opción C
,,,,,,
T125,4,"Artes, Deportes y Entretenimientos",La olimpiada de Moscú 80 fue boicoteada por EE.UU. y otros 64 países debido a la invasión soviética a ...,Paquistán,Afganistán *,Angola
,,,,,,
T125,5,Ciencias y Tecnología,"Todo vocablo médico terminado en  -itis denota inflamación como tendonitis,meningitis, hepatitis, qué denotan los terminados en -algia?",Dolor *,Irritación,Ardor
,,,,,,
T125,6,Cultura General,¿Qué es lo único bueno que había en la misteriosa caja que Pandora abrió contra la voluntad de los dioses olímpoicos ?,La música,La belleza,La Esperanza *
,,,,,,
T126,1,México,"¿La inclusión de qué indeseable personaje en un mural de Diego Rivera en el Rockefeller Center de Nueva York., motivó su destrucción ?",Adolf Hitler,Fidel Castro,Lenin *
,,,,,,
T126,2,Historia Universal,"¿Qué capital caribeña fue fundada por el explorador español Juan Ponce de León, en 1508?",San Juan *,La Habana,Snto Domingo
,,,,,,
T126,3,Geografía Universal,"De norte a sur, es el primer país de Sudamérica, y el único de ese  subcontinente con litorales en ambos océanos .",Venezuela ,Perú,Colombia *
,,,,,,
T126,4,"Artes, Deportes y Entretenimientos",Fue nominada al Oscar como mejor actriz del 2020 por la película La madre del Blues,Viola Davis,Andra Day,Regina King
,,,,,,
T126,5,Ciencias y Tecnología,"Unas plantas alimentan, otras curan, embriagan, visten,etc. ¿Cuál usan los chinos y los japoneses para construir viviendas?",El  bejuco,La morera,El bambú *
,,,,,,
T126,6,Cultura General,¿Qué sinónimo se usa en lugar de liberar tratándose de impuestos que no se tiene la obligación de pagar ?,Exonerar,Exentar *,Extinguir
,,,,,,
T127,1,México,"¿De qué isla antillana partió Hernan Cortés hacia México sin autorización del gobernador Diego Velázquez, su furibundo concuño?",Jamaica,Aruba,Cuba *
,,,,,,
T127,2,Historia Universal,"¿Cómo llamó Colón a la primera isla que divisó en América, cuando ya estaba a punto de 'tirar la toalla'",Gracias a Dios,Espíritu Santo,San Salvador *
,,,,,,
T127,3,Geografía Universal,Posee las islas Galápagos; el volcan Chimborazo; el puerto de Guayaquil y la ciudad andina de Quito.,Bolivia,Paraguay,Ecuador*
,,,,,,
T127,4,"Artes, Deportes y Entretenimientos",¿En qué novela un obsesivo cpitán de barco se empeña en matar a la feroz ballena que lo dejó cojo?,Moby Dick*,Y el mar los devoró,El viejo y el mar
,,,,,,
T127,5,Ciencias y Tecnología,¿Que glándula sexual está representada por los testículos en el hombre y por los ovarios en la mujer?,Gónada *,Gameto,Cigoto
,,,,,,
T127,6,Cultura General,"¿Cómo llaman los portugueses y brasileños a cualquier día de la semana, excepto sábado y domingo?",Feira*,Janeiro,Cruzeiro
,,,,,,
T128,1,México,¿Cuál es la capital de mayor altitud de la República con  2640 mts. sobre el nivel del mar?,Zacatecas,Toluca *,Ciudad de México
,,,,,,
T128,2,Historia Universal,"En 2018 se cumplieron 50 años del asesinato de dos de los tres personajes  mencionados, en cuál no?",Robert Kennedy,Martin Luther King,John F. Kennedy*
,,,,,,
T128,3,Geografía Universal,"Este archipiélago asiático tiene 7,100 islas, de las cuales Luzón y Mindanao abarcan dos tercios del territorio total...",De las Filipinas *,De Indonesia,De Islandia
,,,,,,
T128,4,"Artes, Deportes y Entretenimientos","La Frambuesa de Oro, es el 'premio'  que se otorga anualmente a lo peor del cine estadounidense. Se le conoce popularmente como...",Razzie *,AFI,Annie
,,,,,,
T128,5,Ciencias y Tecnología,"¿Qué país andino legó al mundo la deliciosa papa que se puede comer cocida,frita, en puré, asada etc ?",Perú *,Colombia,Brasil
,,,,,,
T128,6,Cultura General,¿Qué calificativo se aplica a un contrato ventajoso para una sola de las partes?,Sádico,Draconiano,Leonino *
,,,,,,
T129,1,México,"Si quieres conocer las imponentes ruinas de Monte Albán, debes visitar el estado de...",Oaxaca *,Chiapas,Veracruz
,,,,,,
T129,2,Historia Universal,"¿Qué poderoso imperio masacró a un millón y medio de personas en Armenia, hace unos 100 años, la mayor parte por enfermedades o hambre",Imperio Otomano *,Imperio Persa,imperio Astro-Húngaro
,,,,,,
T129,3,Geografía Universal,"¿Qué lago italiano es famoso por las casas que han tenido en sus orillas personajes como George Clooney, Napoleón, Leonardo da Vinci, Churchill, Verdi?",Lago Como *,Lago Garda,Lago Aral
,,,,,,
T129,4,"Artes, Deportes y Entretenimientos","Murió a los 82 años huyendo de su trastornada esposa, pero antes escribió dos excelentes novelas, La Guerra y La Paz, y Ana karenina...",Antón Chéjov,Máximo Gorki,León Tolstoi *
,,,,,,
T129,5,Ciencias y Tecnología,"¿En qué populosa ciudad industrial china se originó el COVID-19, para desgracia de la humanidad?",Hunan,Wuhan*,Nankin
,,,,,,
T129,6,Cultura General,¿Qué país africano emitió en 2008 billetes con valor de  100 trillones?,Zimbabue *,Brunel,Mayanmar
,,,,,,
T130,1,México,"Bailarina y coreógrafa que fundó en 1952, y dirigió por años, el Ballet Folklórico de México, uno de los mas aclamados del mundo",Amalia Hernández *,Sonia Amelio,Pilar Rioja
,,,,,,
T130,2,Historia Universal,"¿Qué país, cuyo símbolo era la Flor de Lis, otorgó el título de delfín al principe heredero entre 1349 y el siglo XIX?",Rusia,Alemania,Francia *
,,,,,,
T130,3,Geografía Universal,"Despues de Brasil y Argentina, es el mayor pais sudamericano. Su territorio es parte costera, parte montañoso y parte selvático...",Perú *,Chile,Colombia
,,,,,,
T130,4,"Artes, Deportes y Entretenimientos","¿Quién ganó el Oscar por su interpretación de Freddie Mercury, el líder y vocalista del grupo Queen en la película biográfica Bohemian Rhapsody?",Rami malek *,Sacha Baron Cohen,Daniel Radcliffe
,,,,,,
T130,5,Ciencias y Tecnología,Gay -lussac y Alexander von Humboldt descubrieron que la molécula del agua está formada por dos átomos de hidrógeno y uno de...,Oxígeno *,Hidrógeno,Ozono
,,,,,,
T130,6,Cultura General,"La eras geológicas son: precámbrica, paleozoica, mesozoica y cenozoica, desde hace cuántos millones de años estamos en esta última ?",6.5,650,65 *
,,,,,,
T131,1,México,¿Quién revivió la popularidad de Luis Miguel interpretando su vida en una serie de Netflix?,Mauricio Ochmann,Diego Boneta *,Alfonso Herrera
,,,,,,
T131,2,Historia Universal,"¿Qué sobrina nieta de Enrique VIII, de 16 años de edad, fue reina de Inglaterra solo 9 días, y con eso tuvo para que la decapitaran como a su esposo?",Ana de Cleves,Juana Grey *,Catalina Howard
,,,,,,
T131,3,Geografía Universal,"Hay mares abiertos, semicerrados y cerrados. Estos últimos se consideran lagos aunque se llamen mares, como por ejemplo...",Mar Muerto *,Mar Negro,Mar Rojo
,,,,,,
T131,4,"Artes, Deportes y Entretenimientos","El streptease nació en cierto cabaret parisino de la Place Pigalle a fines del siglo XIX, cual es el nombre de ese cabaret ?",Lido,Crazy Horse,Moulin Rouge *
,,,,,,
T131,5,Ciencias y Tecnología,¿Cuánto tarda la sangre en recorrer el cuerpo humano en una persona adulta en reposo?,Un minuto *,Una hora,Un segundo
,,,,,,
T131,6,Cultura General,¿Qué estado contable es una fotografía de la situación financiera de la empresa tomada a una fecha determinada ?,Estado de Resultados,Balance General *,Estado de cuenta
,,,,,,
T132,1,México,El mar territorial se mide desde la línea costera hasta cuántos kilómetros mar adentro?,73,50,22 *
,,,,,,
T132,2,Historia Universal,"¿Qué colonia española en Asia, la única que tuvo por esos rumbos, se emancipó tras la Guerra Hispano-Estadounidense de 1898?",Paquistán,Filipinas *,Indonesia
,,,,,,
T132,3,Geografía Universal,"Oceanía está formada casi sólo por islas, dispersas en tres extensas regiones llamadas Polinesia, Micronesia y ... ",Melanesia *,Indonesia,Silesia
,,,,,,
T132,4,"Artes, Deportes y Entretenimientos",Novela autobiógrafica de Ernest Hemingway sobre un oficial herido de EE.UU. que embaraza a una enfermera en la Primera Guerra Mundial...,¿Por quién doblan las campanas ?,Adiós a las armas *,Amor en la tarde
,,,,,,
T132,5,Ciencias y Tecnología,"En nuestro sistema numérico, cuantos ceros tiene un billón?",9,12*,18
,,,,,,
T132,6,Cultura General,¿Cómo se llama el gorro o casquete blanco que usa el Papa cotidianamente para cubrirse la coronilla?,Solideo *,Tiara,Mitra
,,,,,,
T133,1,México,¿Qué número de partidos en el futbol mexicano contabilizó Ricardo Tuca Ferreti en el encuentro en que su equipo Tigres se coronó campeón del Apertura 2016?,500,1000 *,1500
,,,,,,
T133,2,Historia Universal,"¿Qué mariscal británico venció al mariscal nazi Erwin Rommel en la decisiva batalla de El Alamein, y le llovieron las condecoraciones?",Chester Nimitz,Louis Mountbatten,Bernard Montgomery *
,,,,,,
T133,3,Geografía Universal,"¿Qué mar es el único en el mundo, compartido por tres continentes, y por lo mismo, el más transitado del orbe?",Caribe,Mediterráneo *,Golfo Pérsico
,,,,,,
T133,4,"Artes, Deportes y Entretenimientos","Según la revista Forbes, qué franquicia deportiva es la más  cara del mundo?(5,500 millones de dólares en 2020)",Dallas Cowboys *,Gigantes de Nueva York,Barcelona
,,,,,,
T133,5,Ciencias y Tecnología,¿Cuál de estas enfermedades se transmite por medio del esputo?,Hemofilia,Sífilis,Tuberculosis *
,,,,,,
T133,6,Cultura General,"¿Qué movido baile italiano, supuestamente curaba la locura producida por la mordedura de cierto bicho ponzoñoso",Sardana,Cueca,Tarantela*
,,,,,,
T134,1,México,"Fué conocido como el Caifán Mayor, llegó a ser  uno de los máximos exponentes del canto nuevo en México y falleció cíctima del COVID-19",Oscar de León,Oscar Chávez *,Oscar Medina
,,,,,,
T134,2,Historia Universal,"La bella e inteligente Cataliina La Grande le quedaba idem a su mediocre y cornudo marido, Pedro III. ¿En que país?",Rusia *,Francia,Italia
,,,,,,
T134,3,Geografía Universal,"Oceanía es un contintnte formado casi sóolo por islas, todas ellas pertenecientes a un mismo océano.¡Cuál es?",Atlántico,Pacífico *,Ïndico
T134,4,"Artes, Deportes y Entretenimientos","Este escritoe, autor de los dramas teatrales La casa de Bernarda Alba y Bodas de sangre fué fusilado al comienzo de la guerra civl española",Federico García Lorca *,Enrique Jardiel Poncela,Jacinto Benavente
,,,,,,
T134,5,Ciencias y Tecnología,"Si viajaras en torno a la Tierra a la velocidd de la luz, por el ecuador, no podrías admirar el paisaje, porque darías varias vueltas cada segundo. ¿Cuántas?",3.5,5.5,7.5 *
,,,,,,
T134,6,Cultura General,¿Cuál de estos magnates se convirtió en 2021 en el hombre mas rico del mundo?,Mark Zuckerberg,George Soros,Elon Musk *
,,,,,,
T135,1,México,"El 16 de mayo de 1989, a las15:15 hrs, llegó a la cima mas alta del mundo, y fué el primer latinoamericano en lograrlo",Carlos Mercenario,Ricardo Torres Nava*,Yuri Contreras
,,,,,,
T135,2,Historia Universal,Su padre era Pipino El Breve y su madre  Berta'la del Pie Grande'¿Quién era?,Carlomagno*,Alberto Magno,Alejandro Magno
,,,,,,
T135,3,Geografía Universal,"Es el segundo país sudamericano mas pequeño, su segunda ciudad es Punta del Este, y tiene el nivel de alfabetización mas alto de latinoamérica",Surinam,Paraguay,Uruguay*
,,,,,,
T135,4,"Artes, Deportes y Entretenimientos","¿Qué entrenador de los Lakers de Los Ángeles es,con 11 títulos, el más ganador de la historia de la NBA?",Larry Brown,Phil Jackson*,Red Auerback
,,,,,,
T135,5,Ciencias y Tecnología,"Entre los múltiplos de las unidades métricas figuran los prefijos mega-,giga-,tera-: ¿Cual representa un billo",Tera*,Giga,Mega
,,,,,,
T135,6,Cultura General,La principal biblioteca de la Antiguedad llegó a tener unos quinientos mil volúmenes. ¿En que ciudad la fundó el rey Tolomeo?,Esmirna,Babilonia,Alejandría*
,,,,,,
T136,1,México,"¿Cuántos miles de millones de personas se estima que han vivido en este planeta, al menos hasta la semana pasada?",100 *,200,300
,,,,,,
T136,2,Historia Universal,¿Cuánto tiempo transcurrió entre las caídas del Imperio  Romano de Occidente y del Imperio Romano de Oriente?,Mil años *,Dos mil años,Tres mil años
,,,,,,
T136,3,Geografía Universal,"EE.UU. tiene dos archipiélagos principales, uno es el de Hawai, el otro, el de las Aleutianas situado en ...",Florida,Alaska *,California
,,,,,,
T136,4,"Artes, Deportes y Entretenimientos","El corredor que lleva el balón en el futbol americano, suele soltarlo por tanto guamazo que recibe; cómo se llama esta infausta jugada?",Holding,Clipping,Fumble *
,,,,,,
T136,5,Ciencias y Tecnología,"Dicen que la anemia puede llevar a la tumba, y que se combate comiendo este metal...",Plomo,Cobre,Hierro *
,,,,,,
T136,6,Cultura General,¿Qué dios griego era el equivalente de Baco y al igual que éste inducía a sus seguidores a decir !salud¡?,Hefesio,Dionisio *,Hermes
,,,,,,
T137,1,México,"Los hermanos Rodríguez murieron trágicamente en las pistas de carreras de Fórmula I, Ricardo en 1962, y quién en 1971?",Pablo,Pedro *,Raúl
,,,,,,
T137,2,Historia Universal,"¿Qué país árabe ocupa la región de la Mesopotamia y es el heredero de su esplendorosa civilización, cosa que en esta época no le sirve de nada?",Turquía,Irak *,Egipto
,,,,,,
T137,3,Geografía Universal,"Ciudad que pertenece a dos continentes(Europa y Asia), a los que llegas cruzando el estrecho del Bósforo a pie, en coche o a nado...",Estambul*,Ammán,Beirut
,,,,,,
T137,4,"Artes, Deportes y Entretenimientos","El atletismo es el deporte olímpico por excelencia, desde la antiguedad, incluye lanzamiento, carreras, salto y...",gimnasia,natación,marcha *
,,,,,,
T137,5,Ciencias y Tecnología,"El pie es la tercera parte de la yarda, por lo cual mide nada menos  que...",30.5  cms*,25.1 cms.,20.5 cms.
,,,,,,
T137,6,Cultura General,"Según los dos científicos que ganaron el Nobel de Medicina de 2004, cuántos olores puede percibir el olfato humano?","10,000 *","20,000","15,000"
T138,1,México,"¿Cuál de los cuatro grandes torneos internacionales de tenis ganó el mexicano Rafael 'Pelón'Osuna, hijo de Rafael Osuna Bareño, en 1963 y ha sido el único en lograrlo?",Abierto de EE.UU *,Wimbledon,Roland Garros
,,,,,,
T138,2,Historia Universal,"Es la más célebre victoria militar de Napoleón Bonaparte, que se conmemora, como todas las demás, en el  Arco del Triunfo de París...",Austerlitz *,Jena,Borodino
,,,,,,
T138,3,Geografía Universal,"La profundidad de los océanos varía de 100 a 11,000 mts. que es la mayor hondura conocida en la llamada Fosa de..",Iguazú,Las  Marianas *,Las Malvinas
,,,,,,
T138,4,"Artes, Deportes y Entretenimientos","De que este escritor le hacía al cuento, no hay duda, y si no ahí están El Gato con botas, La Cenicienta, y Caperucita Roja. para confirmarlo...",Charles Perrault *,jonathan Swift,Jacob Grimm
,,,,,,
T138,5,Ciencias y Tecnología,"El acre es una medida agraria inglesa equivalente a la hectárea, pero no mide ni la mitad de ésta, cual es su superficie ?","6,987 mts./2","4,046 mts./2 *","5,780 mts./2"
,,,,,,
T138,6,Cultura General,"Quzá' y 'tal vez' son dos indecisos adverbios, de qué tipo?",De modo,De afirmación,De duda *
,,,,,,
T139,1,México,"Dos hermanos mexicanos militan en las grandes ligas de beisbol 2021, cómo se llaman?",González,Osuna,Urías *
,,,,,,
T139,2,Historia Universal,"Durante su reinado, el Imperio Inca alcanzó su máximo esplendor, cubriendo desde Colombia hasta Chile y Argentina...",Lempira,Cacama,Huayna Cápac *
,,,,,,
T139,3,Geografía Universal,¿Qué parte de toda el agua dulce del planeta está congelada en la Antártida?,30 %,60 %,90 % *
,,,,,,
T139,4,"Artes, Deportes y Entretenimientos","Muchas de las óperas de mayor éxito pertenecen a Verdi, como  Nabucco, La Traviata,  Otelo,  Rigoletto y su obra maestra...",Carmen,Tosca,Aída *
,,,,,,
T139,5,Ciencias y Tecnología,"La yarda mide 8.6% menos que el metro, que son...",993 cms.,967 cms.,914 cms *
,,,,,,
T139,6,Cultura General,"¿Qué capital Árabe fue severamente afectada en 2020 por una explosión en su zona portuaria de 2,750 toneladas de Nitrato de Amonio?",Bagdad,Damasco,Beirut *
,,,,,,
T140,1,México,La primera mexicana que ganó una medalla de oro olímpica fue…..,Soraya Jiménez *,Ma. Del Rosario Espinoza,Pilar Roldán
,,,,,,
T140,2,Historia Universal,¿De qué país colonizó el Congo el Rey Leopoldo II y Convirtió a esa región en un feudo personal donde fueron exterminados 10 millones de nativos?,Holanda,Suiza,Bélgica *
,,,,,,
T140,3,Geografía Universal,¿Qué estado representa la primer mujer de ascendencia mexicana electa senadora de EE.UU.?,Georgia,Alabama,Nevada *
,,,,,,
T140,4,"Artes, Deportes y Entretenimientos","¿Quién compuso la letra de la bellísima canción La vida en rosa, aunque su vida no fue muy agradable?",André Previn,Edith Piaf *,Charles Aznavour
,,,,,,
T140,5,Ciencias y Tecnología,"En 1957 los soviéticos dejaron al mundo boquiabierto, y a nuestros vecinos preocupados, cuandolanzaron el primer satélite artificial , llamado…",Lunik,Vostok,Sputnik *
,,,,,,
T140,6,Cultura General,¿A qué dios griego dedicó FIDIAS la soberbia escultura de oro y marfil que figura entre las Siete Maravillas del mundo Antiguo ?,Zeus *,Saturno,Marte
,,,,,,
T141,1,México,"Griselda Álvarez fue la primera gobernadora constitucional en la República Mexicana, en qué estado?",Colima *,Tlaxcala,Baja California
,,,,,,
T141,2,Historia Universal,La inquisicion fue muy activa en España; qué sacerdote  del Santo Oficio fue famoso por su fanatismo y crueldad?,Manuel Malatesta,Pedro Degollado,Tomás de Torquemada *
,,,,,,
T141,3,Geografía Universal,¿Qué continente ocupa el 9% de la superficie total de nuestro planeta y casi un tercio de su parte terrestre?,Asia *,África,América
,,,,,,
T141,4,"Artes, Deportes y Entretenimientos","Los cuentos infantiles clásicos, son violentos y crueles, así fue calificado Los Viajes de Gulliver, escrito por...",Selma Lagerlof,Jonathan Swift *,Edmondo De Amicis
,,,,,,
T141,5,Ciencias y Tecnología,"El ser humano tiene 23 pares de cromosomas en cada célula, de qué ácidos  están formados ?",Ácidos Nucleicos *,Ácidos Fólicos,Ácidos Lácticos
,,,,,,
T141,6,Cultura General,"¿Qué nombre dió Aristóteles a Inglaterra, país donde nunca puso un pie, salvo que haya ido de incógnito?",Zelanda,Albión *,Flandes
,,,,,,
T142,1,México,Pueblo prehispánico de grandes matemáticos que incorporó el cero a su numeración mil años antes que otras civilizaciones...,Maya *,Azteca,Teotihuacano
,,,,,,
T142,2,Historia Universal,"La Revolución Francesa guillotinó también a sus propios dirigentes, salvo uno, que murió acuchillado en la tina de  Charlotte Corday...",Maximiliano de Robespierre,Jean Paul Marat *,Georges Jacques Danton
,,,,,,
T142,3,Geografía Universal,"¿En qué región de la tierra se ha registrado la temperatura más baja, -93 gradls centígrados?",Ártico,Groenlandia,Antártida *
,,,,,,
T142,4,"Artes, Deportes y Entretenimientos",¿Qué equipo se coronó campeón de la temporada 2019-2020 de la NBA?,Heat de Miami,Spurs de San Antonio, Lakers de Los Ángeles *
,,,,,,
T142,5,Ciencias y Tecnología,"¿Cuál es el hueso principal de la pierna, entendiendo por tal sólo de la rodilla al pie?",Tibia *,Peroné,Fémur
,,,,,,
T142,6,Cultura General,"La palabra Cristo es de orígen griego y significa en esta lengua, lo mismo que Mesías en hebreo, qué significa...",El Esperado,El que es,El Ungido *
,,,,,,
T143,1,México,"La región de la Huasteca abarca cinco estados; la del Bajío 4 , y la del itsmo de Tehuantepec, cuántos ?",2,3,4 *
,,,,,,
T143,2,Historia Universal,¿Quién fue el primer presidente marxista del mundo que llegó democráticamente al poder?,Salvador Allende*,Fidel Castro,Hugo Chávez
,,,,,,
T143,3,Geografía Universal,¿Qué fuerza física evita que al girar la tierra sobre su eje salgamos disparados hacia el espacio?,Centrípeta *,Centrífuga,Centriptica
,,,,,,
T143,4,"Artes, Deportes y Entretenimientos","Las modernas olimpiadas se deben a iniciativa de un ilustre varón que ostentaba el título de Barón, llamado ...",Pierre de Coubertín *,Alexander von Humboldt ,Jules Rimet
T143,5,Ciencias y Tecnología,"El material ardiente y lodoso que arrojan los volcanes produce, al enfriarse lentamete, una roca llamada...",Cuarzo,Basalto *,Caliza
,,,,,,
T143,6,Cultura General,"Nuestro alfabeto proviene de los romanos; éstos lo tomaron de los griegos, quienes a su vez lo robaron de...",Los filisteos,Los francos,los fenicios *
,,,,,,
T144,1,México,"¿Qué cifra record de remesas, en millones de dólares, enviaron en 2020 los migrantes mexicanos a sus familias ?",20 mil,30 mil,40 mil *
,,,,,,
T144,2,Historia Universal,"¿Qué personaje,favorito de los mariachis,logró la unificación y fundación de Italia como país?",Giuseppe Garibaldi *,Giorgio Negrete,Erizo Tenampa
,,,,,,
T144,3,Geografía Universal,"Las cordilleras del Himalaya-karakórum tienen las 14 montañas más elevadas del mundo,todas de más de...",9 mil mets.,8 mil mts. *,11 mil mts.
,,,,,,
T144,4,"Artes, Deportes y Entretenimientos","¿Qué jugador latino de las grandes ligas rompió, en 2013, la marca de más jonrones con casa llena (23) impuesta por Lou Gehrig?",Albert Pujol,David Ortiz,Alex Rodríguez *
,,,,,,
T144,5,Ciencias y Tecnología,"Todos los seres unicelulares tienen una formsa muy peculiar de reproducirse , cuál es?",Partenogénesis,Bipartición *,Autofecundación
,,,,,,
T144,6,Cultura General,"¿Qué fenómeno económico eleva los precios, deteriora el salario y beneficia a los que más tienen?",La inflación *,La depreciación,La deflación
,,,,,,
T145,1,México,"¿Qué gobernador de Puebla falleció en 2018 al lado de su esposo Rafael Moreno Valle, en un accidente de helicóptero?",Elena Eréndira Ramírez,Martha Erika Alonso *,María Luisa Ramírez
,,,,,,
T145,2,Historia Universal,"EE.UU usó en la Guerra de Vietnam 'la molécula más tóxica jamás sintetizada por el hombre', en qué tipo de bombas?",Incendiarias,Defoliantes*,Inhalantes
,,,,,,
T145,3,Geografía Universal,¿Cuál es la isla más grande del mundo ?,Gran Bretaña,Nueva Guinea,Groenlandia *
,,,,,,
T145,4,"Artes, Deportes y Entretenimientos","En la película 'Bastardos sin gloria', qué famoso personaje de la vida real muere en un atentado, como tantos deseaban ?",Adolf Hitler *,Benito Mussolini,José Stalin
,,,,,,
T145,5,Ciencias y Tecnología,"Las galaxias tienen, en promedio, tantas estrellas como neuronas hay, o debe haber, en nuestro cerebro,cuántas?",100 mil millones *,10 mil millones,1000 millones
,,,,,,
T145,6,Cultura General,¿De cuántos libros consta el Antiguo Testamento de los católicos?El de los Hebreos consta de 39 libros.,46 *,64,58
,,,,,,
T146,1,México,¿Cuántos estados peninsulares tiene la República Mexicana y no hay más porque tan solo tenemos dos penínsulas?,3,4,5 *
,,,,,,
T146,2,Historia Universal,"¿Qué ex dictador, acusado de miles de muertes y torturas, murió el 10 de diciembre del 2006, Día Internacional de los Derechos Humanos ?",Augusto Pinochet *,Musmar Gadafi,Saddam Hussein
,,,,,,
T146,3,Geografía Universal,"Los ríos tienen tres formas de desembocadura; cuál es la del Nilo, misma que le permite irrigar una buena superficie de tierra?",Delta *,Barra,Estuario
,,,,,,
T146,4,"Artes, Deportes y Entretenimientos","Para muchos,es el máximo pintor y escultor de la historia, considerando solo La Capilla Sixtina y El David...",Rafael,Leonardo,Miguel Ángel *
,,,,,,
T146,5,Ciencias y Tecnología,"¿Cuantos litros de gasolina te sirven en EE.UU. por cada galón que compras, a menos que te hagan las trampas que se estilan en México?",4.07,4.61,3.78 *
,,,,,,
T146,6,Cultura General,"Las palabras esdrújulas siempre llevan acento escrito, cuál de estas es un ejemplo?",Teléfono *,Maíz,Autobús
,,,,,,
T147,1,México,"Consumada la conquista de México, terminó la civilización indígena y nació la Nueva España, cuántos años duró ?",100,200,300 *
,,,,,,
T147,2,Historia Universal,¿Qué astrónomo y matemático griego fue el único que sostuvo en la Antiguedad que la tierra gira alrededor del Sol  y nadie le hizo caso?,Aristarco de Samos *,Claudio Ptolomeo,Tales de Mileto
,,,,,,
T147,3,Geografía Universal,¿Cómo se llaman los habitantes del punto del planeta diametralmente opuesto al que nos encontramos ?,Antígonas,Antígenos,Antípodas *
,,,,,,
T147,4,"Artes, Deportes y Entretenimientos","¿Quién metió el gol,en penales, que dió a Brasil su primera medalla de oro olímpica, y habría tenido que cambiar de nacionalidad si lo hubiera fallado?",Neymar *,Rafinha,Gabriel
,,,,,,
T147,5,Ciencias y Tecnología,"La libra pesa mucho menos que nuestro kilogramo, en tanto que el kilo pesa 1,000 gramos, la libra solo...",581 grs.,453 grs. *,235 grs.
,,,,,,
T147,6,Cultura General,¿Qué gobernante romano determinó el orden actual de los meses y los días y dió su nombre al más conocido como 'quintillis'?,Augusto César,Julio César *,Nerón
,,,,,,
T148,1,México,"Siete de las 10 especies marinas de este animal que llegan a playas mexicanas, están en peligro de extinción por culpa de sus depredadores, los humanos...",Tortuga *,Cangrejo,Pelícano
,,,,,,
T148,2,Historia Universal,"A lamuerte de Alejandro Magno, sus generales se repartieron su vasto imperio; a quién le tocó Egipto donde fundó una dinastía de tres siglos?",Leónidas ,Pompeyo,Ptolomeo *
,,,,,,
T148,3,Geografía Universal,¿Qué continente es casi tan extenso como los tres más pequeños juntos?,América,África,Asia *
,,,,,,
T148,4,"Artes, Deportes y Entretenimientos","¿Qué poeta escribió 'Los motivos del lobo', sobre un feroz animal que se vuelve bueno gracias a San Francisco de Asís?",Pablo Neruda,José Martí,Rubén Darío *
,,,,,,
T148,5,Ciencias y Tecnología,"La proporción de agua en la masa de los organismos vivos,varía de 50 a 90%; cuál es en los seres humanos?",65,75 *,85
,,,,,,
T148,6,Cultura General,El oasis es un apartado paraje en el desierto donde los sedientos viajeros encuentran agua y vegetación; de qué desierto es típico?,Del de Gobi,Del del Sahara *,Del de kalahari
,,,,,,
T149,1,México,"El río Bravo nace en las Rocallosas; entra al país por el estado de Chihuahua,nos separa de EE.UU. a lo largo de 2,242 Kms. y desemboca en el...",Golfo de California,Golfo de México *,Mar Caribe
,,,,,,
T149,2,Historia Universal,"Invadió Italia hace 2,200 años cruzando los Alpes con una comitiva de 100 mil hombre y  37 elefantes...",Darío,Aníbal *,Ciro
,,,,,,
T149,3,Geografía Universal,¿Qué estrecho de 64 kms. de ancho cruzaron nuestos ancestros caminando de Asia a América en pleno invierno?,Estrecho de Magallanes,Estrecho de Gibraltar,Estrecho de Bering*
,,,,,,
T149,4,"Artes, Deportes y Entretenimientos",¿A qué escudería de Fórmula 1 se integró en 2016 el veloz y osado piloto holandés Max Verstappen?,Red Bull *,Mercedes,Ferrari
,,,,,,
T149,5,Ciencias y Tecnología,"Escribió en 1543 que los planetas giran alrededor del Sol y que éste estaba en el centro del Universo, pero no se atrevió a publicarlo...",René Descartes,Blaise Pascal,Nicolás Copérnico *
,,,,,,
T149,6,Cultura General,"Dicen que Cleopatra debía su indiscutible sex appeal a que se bañaba con leche de cierto mamífero, cuál ?",Burra *,Cabra,Oveja
,,,,,,
T150,1,México,"¿En qué ciudad del estado de Hidalgo se celebra cada año la Feria  Internacional del Maguey, donde se consume pulque a granel?",Pachuca,Apan*,Ciudad Sahagún
,,,,,,
T150,2,Historia Universal,"¿Qué guerra fue, de hecho, el primer enfrentamiento entre el comunismo y el capitalismo?",II Guerra Mundial,Guerra de Vietnam,Guerra de Corea *
,,,,,,
T150,3,Geografía Universal,"¿En qué país asiático,cuya capital es katmandú, están parcial o totalmente 9 de las 14 montañas más altas del mundo?",Nepal *,Tibet,Bangladesh
,,,,,,
T150,4,"Artes, Deportes y Entretenimientos",¿Con qué película del 2020 compitió por el Oscar Sacha Baron Cohen?,Borar 2,Mank,El juicio de los 7 de Chicago *
,,,,,,
T150,5,Ciencias y Tecnología,¿Cuál es la estrella más brillante del cielo nocturno ? Dos veces más de la que le sigue.,Alfa Centauri,Venus,Sirio *
,,,,,,
T150,6,Cultura General,Roma no ha sido la única sede de la Iglesia Católica; qué ciudad francesa lo fue para 7 Papas entre 1309 y 1377?,Aviñón *,Marsella,Nancy
,,,,,,
T151,1,México,"La primera constitución mexicana se promulgó en 1824, la segunda en 1857 y la tercera en...",1910,1914,1917 *
,,,,,,
